xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 历史地名;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
PROV5020;关东州;;;;;;;;;;X
PROV5017;归绥;;;;;;;;;;X
PROV5335;保安;;;;;;;;;;X
PROV8955;迪化;;;;;;;;;;X
PROV4885;张北;;;;;;;;;;X
PROV5084;阜平;;;;;;;;;;X
PROV5451;汉中;;;;;;;;;;X
PROV9325;天水;;;;;;;;;;X
PROV9295;陇南;;;;;;;;;;X
PROV7446;秋林;;;;;;;;;;X
PROV4896;罗津;;;;;;;;;;X
#######################################;;;;;;;;;;;;;;x
# 地区名;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
northeast_anti_japanese_united_army_base;东北抗联根据地;;;;;;;;;;;;;x
hainan_anti_japanese_base;琼崖抗日根据地;;;;;;;;;;;;;x
dongjiang_anti_japanese_base;东江抗日根据地;;;;;;;;;;;;;x
north_anhwei_anti_japanese_base;皖北抗日根据地;;;;;;;;;;;;;x
north_jiangsu_anti_japanese_base;苏北抗日根据地;;;;;;;;;;;;;x
central_jiangsu_anti_japanese_base;苏中抗日根据地;;;;;;;;;;;;;x
south_anhwei_anti_japanese_base;皖南抗日根据地;;;;;;;;;;;;;x
south_jiangsu_anti_japanese_base;苏南抗日根据地;;;;;;;;;;;;;x
huainan_anti_japanese_base;淮南抗日根据地;;;;;;;;;;;;;x
east_chekiang_anti_japanese_base;浙东抗日根据地;;;;;;;;;;;;;x
hubei_henan_anhwei_anti_japanese_base;鄂豫皖抗日根据地;;;;;;;;;;;;;x
shaanxi_gansu_ningsia_region;陕甘宁边区;;;;;;;;;;;;;x
shanxi_suiyuan_anti_japanese_base;晋绥抗日根据地;;;;;;;;;;;;;x
shanxi_chahar_hebei_anti_japanese_base;晋察冀抗日根据地;;;;;;;;;;;;;x
shanxi_hebei_shandong_henan_anti_japanese_base;晋冀鲁豫抗日根据地;;;;;;;;;;;;;x
shandong_anti_japanese_base;山东抗日根据地;;;;;;;;;;;;;x
wjw_region;汪伪政府宣称政区;;;;;;;;;;;;;x
manchu_china_region;满洲国;;;;;;;;;;;;;x
