xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 兵种;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
partisan_bergsjaeger;山地游击军;;;;;;;;;;;;;x
partisan_bergsjaeger_short;游击队;;;;;;;;;;;;;x
chc_gundam;干部团;;;;;;;;;;;;;x
chc_gundam_short;教导;;;;;;;;;;;;;x
chi_star_destroyer;党化部队;;;;;;;;;;;;;x
chi_star_destroyer_short;教导;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 特性;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
tactical_genius;战术天才;;;;;;;;;;;;;x
sincere_seeker;精诚义士;;;;;;;;;;;;;x
serious_general;严明的领军者;;;;;;;;;;;;;x
defense_army;金城之师;;;;;;;;;;;;;x
believed_general;受宠信的将领;;;;;;;;;;;;;x
mao_army_1;分割歼灭思想;;;;;;;;;;;;;x
zhude_thought;游击战思想;;;;;;;;;;;;;x
mao_army_3;穿插突击思想;;;;;;;;;;;;;x
mao_army_4;组织纪律观念;;;;;;;;;;;;;x
mao_army_5;官兵平等模式;;;;;;;;;;;;;x
mao_army_6;主动作战观念;;;;;;;;;;;;;x
mao_army_7;连续战斗作风;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 战术;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
tactic_sparrow;麻雀战;;;;;;;;;;;;;x
tactic_road_breaking;破袭战;;;;;;;;;;;;;x
tactic_saodang;大扫荡;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# OOB;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
CHC_Kanglian.txt;东北抗日联军\n;;;;;;;;;;;;;x
CHI_Shanghai.txt;第九集团军、第八集团军\n;;;;;;;;;;;;;x
JAP_Peking.txt;北支那派遣军\n;;;;;;;;;;;;;x
JAP_Shanghai.txt;上海派遣军\n;;;;;;;;;;;;;x
CHC_Balu_1.txt;国民革命军第八路军\n;;;;;;;;;;;;;x
CHC_Balu_2.txt;八路军陕甘宁留守兵团\n;;;;;;;;;;;;;x
CHC_N4A.txt;国民革命军陆军新编第四军\n;;;;;;;;;;;;;x
CHC_1.txt;八路军晋察冀军区\n;;;;;;;;;;;;;x
CHC_2.txt;冀热察挺进军\n;;;;;;;;;;;;;x
CHC_3.txt;晋西南根据地\n;;;;;;;;;;;;;x
CHC_4.txt;晋西北根据地\n;;;;;;;;;;;;;x
CHC_5.txt;120师大青山支队\n;;;;;;;;;;;;;x
CHC_6.txt;晋冀豫根据地\n;;;;;;;;;;;;;x
CHC_7.txt;115师东进抗日挺进纵队\n;;;;;;;;;;;;;x
CHC_8.txt;山西新军决死队\n;;;;;;;;;;;;;x
CHC_9.txt;山西新军决死队\n;;;;;;;;;;;;;x
CHC_10.txt;八路军山东纵队\n;;;;;;;;;;;;;x
CHC_11.txt;八路军第三纵队兼冀中军区\n;;;;;;;;;;;;;x
CHC_12.txt;新四军华中根据地\n;;;;;;;;;;;;;x
CHC_13.txt;豫皖苏边区\n;;;;;;;;;;;;;x
MEB_military.txt;蒙疆联合自治政府军\n;;;;;;;;;;;;;x
CHB_military.txt;中华民国临时政府军\n;;;;;;;;;;;;;x
CJS_military.txt;中华民国维新政府军\n;;;;;;;;;;;;;x
WJW_ChiangKaiShek_Transport_1.txt;投敌国军\n;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 战争目标;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
china_war_goal;征服支那;;;;;;;;;;X
china_war_goal_setup;如欲征服世界，必先征服亚洲，如欲征服亚洲，必先征服支那。;;;;;;;;;;X
