xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 政治制度;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
chc_socialist_republic;新民主主义制度;;;;;;;;;;;;;x
chc_socialist_republic_ruler;主席;;;;;;;;;;;;;x
prc_socialist_republic;社会主义制度;;;;;;;;;;;;;x
prc_socialist_republic_ruler;主席;;;;;;;;;;;;;x
#prc_xiaoping_republic;修正主义制度;;;;;;;;;;;;;x
#prc_xiaoping_republic_ruler;总设计师;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 法案;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
chc_totalitarian_system;人民民主专政;;;;;;;;;;;;;x
chc_totalitarian_system_desc;运用适当的土地政策，改善人民的生活。\n加上广泛的民主选举，使人民参政，并且和我们紧密的联系在一起。;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 国家;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
national_socialist_CHC;教条主义分子;;;;;;;;;;;;;x
fascistic_CHC;专制主义分子;;;;;;;;;;;;;x
paternal_autocrat_CHC;国民党反动派;;;;;;;;;;;;;x
social_conservative_CHC;共产党国际派;;;;;;;;;;;;;x
market_liberal_CHC;共产党右派;;;;;;;;;;;;;x
social_liberal_CHC;开明绅士;;;;;;;;;;;;;x
social_democrat_CHC;中国左翼作家联盟;;;;;;;;;;;;;x
left_wing_radical_CHC;民主人士;;;;;;;;;;;;;x
leninist_CHC;中国共青团;;;;;;;;;;;;;x
stalinist_CHC;中国共产党;;;;;;;;;;;;;x
CHI;南京国民政府;;;;;;;;;;;;;x
national_socialist_CHI;国民党复兴社;;;;;;;;;;;;;x
fascistic_CHI;国民党投降派;;;;;;;;;;;;;x
paternal_autocrat_CHI;中国国民党;;;;;;;;;;;;;x
social_conservative_CHI;国民党土木系;;;;;;;;;;;;;x
market_liberal_CHI;国民党西山会议派;;;;;;;;;;;;;x
social_liberal_CHI;国民党广东系;;;;;;;;;;;;;x
social_democrat_CHI;国民党CC派;;;;;;;;;;;;;x
left_wing_radical_CHI;国民党左派;;;;;;;;;;;;;x
leninist_CHI;国民党和平派;;;;;;;;;;;;;x
stalinist_CHI;中国共产党;;;;;;;;;;;;;x
CSX;山西绥靖公署;;;;;;;;;;;;;x
CGX;广西绥靖公署;;;;;;;;;;;;;x
CYN;云南绥靖公署;;;;;;;;;;;;;x
MAN;满洲帝国;;;;;;;;;;;;;x
MAN_ADJ;满洲的;;;;;;;;;;;;;x
MEA;蒙古军政府;;;;;;;;;;;;;x
MEA_ADJ;蒙古的;;;;;;;;;;;;;x
MEB;蒙疆联合自治政府;;;;;;;;;;;;;x
MEB_ADJ;蒙古的;;;;;;;;;;;;;x
national_socialist_MEA;国社党;;;;;;;;;;;;;x
fascistic_MEA;法西斯党;;;;;;;;;;;;;x
paternal_autocrat_MEA;泛蒙古运动;;;;;;;;;;;;;x
social_conservative_MEA;保守党;;;;;;;;;;;;;x
market_liberal_MEA;自由联盟;;;;;;;;;;;;;x
social_liberal_MEA;社会自由党;;;;;;;;;;;;;x
social_democrat_MEA;社会民主党;;;;;;;;;;;;;x
left_wing_radical_MEA;社会革命党;;;;;;;;;;;;;x
leninist_MEA;社会工人党;;;;;;;;;;;;;x
stalinist_MEA;蒙古国共产党;;;;;;;;;;;;;x
national_socialist_MEB;国社党;;;;;;;;;;;;;x
fascistic_MEB;法西斯党;;;;;;;;;;;;;x
paternal_autocrat_MEB;泛蒙古运动;;;;;;;;;;;;;x
social_conservative_MEB;保守党;;;;;;;;;;;;;x
market_liberal_MEB;自由联盟;;;;;;;;;;;;;x
social_liberal_MEB;社会自由党;;;;;;;;;;;;;x
social_democrat_MEB;社会民主党;;;;;;;;;;;;;x
left_wing_radical_MEB;社会革命党;;;;;;;;;;;;;x
leninist_MEB;社会工人党;;;;;;;;;;;;;x
stalinist_MEB;蒙古国共产党;;;;;;;;;;;;;x
CJD;冀东防共自治政府;;;;;;;;;;;;;x
CJD_ADJ;皇协军的;;;;;;;;;;;;;x
national_socialist_CJD;国家社会主义党;;;;;;;;;;;;;x
fascistic_CJD;中国青年党;;;;;;;;;;;;;x
paternal_autocrat_CJD;中国国民党;;;;;;;;;;;;;x
social_conservative_CJD;保皇党;;;;;;;;;;;;;x
market_liberal_CJD;立宪党;;;;;;;;;;;;;x
social_liberal_CJD;维新党;;;;;;;;;;;;;x
social_democrat_CJD;进步党;;;;;;;;;;;;;x
left_wing_radical_CJD;五四运动;;;;;;;;;;;;;x
leninist_CJD;中国工农党;;;;;;;;;;;;;x
stalinist_CJD;中国共产党;;;;;;;;;;;;;x
CHB;中华民国临时政府;;;;;;;;;;;;;x
CHB_ADJ;皇协军的;;;;;;;;;;;;;x
national_socialist_CHB;国家社会主义党;;;;;;;;;;;;;x
