xxxx;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# 部长效果;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
powerful_imperium;威权统治者;;;;;;;;;;;;;x
leader_of_people;人民领袖;;;;;;;;;;;;;x
guerrilla_thought;游击战理论;;;;;;;;;;;;;x
moving_battle;运动战思想;;;;;;;;;;;;;x
war_of_quick_decision;速决战理论;;;;;;;;;;;;;x
underground_specialist;地下工作专家;;;;;;;;;;;;;x
trainning_of_battle;正规战素养;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
# Buff;;;;;;;;;;;;;;x
#######################################;;;;;;;;;;;;;;x
Kanglian_4_1;集团部落的影响;;;;;;;;;;;;;x
Kanglian_4_2;满洲国：支那人的最后抵抗;;;;;;;;;;;;;x
Japan_Preparing;日本的扩军计划;;;;;;;;;;;;;x
Japan_Shanghai;长江扩张计划;;;;;;;;;;;;;x
passive_defence;消极的防御;;;;;;;;;;;;;x
cxb_1936;马家军的续命;;;;;;;;;;;;;x
luochuan_1;洛川会议：正规运动战;;;;;;;;;;;;;x
luochuan_2;洛川会议：山地游击战;;;;;;;;;;;;;x
chi_1936;第一次国共内战;;;;;;;;;;;;;x
sanguang;烬灭作战：杀光、抢光、烧光;;;;;;;;;;;;;x
sanguang_chc;三光政策的影响;;;;;;;;;;;;;x
desperate_defence;绝望的防御;;;;;;;;;;;;;x
zhiansuzheng;北支那治安肃正计划;;;;;;;;;;;;;x
zhiansuzheng_chc;囚笼政策的影响;;;;;;;;;;;;;x
chc_fighting;百团大战;;;;;;;;;;;;;x
initial_mobilization;战斗动员;;;;;;;;;;;;;x
cruel_mobilization;国民政府的铁腕动员;;;;;;;;;;;;;x
suiyuan_battle;绥远抗战;;;;;;;;;;;;;x
Japan_Support;日本的援助;;;;;;;;;;;;;x
desperate_defence_2;保卫祖国;;;;;;;;;;;;;x
desperate_defence_3;保卫祖国;;;;;;;;;;;;;x
corrupt_politics;前方吃紧，后方紧吃;;;;;;;;;;;;;x
china_stop_war;双十协定;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
